file,author,date
app/build.gradle.kts,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
app/build.gradle.kts,Scott Alexander-Bown,Wed Sep 18 11:02:36 2024 +0100
app/build.gradle.kts,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
app/build.gradle.kts,Artsem Kurantsou,Sat Aug 17 15:34:47 2024 +0100
app/build.gradle.kts,Artsem Kurantsou,Mon Aug 5 19:31:03 2024 +0100
app/build.gradle.kts,Artsem Kurantsou,Sun Aug 4 22:18:36 2024 +0100
build.gradle.kts,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
build.gradle.kts,Artsem Kurantsou,Sat Aug 17 15:34:47 2024 +0100
build.gradle.kts,Artsem Kurantsou,Sun Aug 4 22:18:36 2024 +0100
gradle.properties,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
gradle.properties,Scott Alexander-Bown,Wed Sep 18 11:02:36 2024 +0100
gradle.properties,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
gradle.properties,Scott Alexander-Bown,Fri May 21 15:40:38 2021 +0100
gradle.properties,Scott Alexander-Bown,Tue May 4 07:47:42 2021 +0100
gradle.properties,Matthew Rollings,Sat Feb 8 20:34:17 2020 +0000
gradle.properties,Daniel Kutik,Sat Nov 16 10:34:24 2019 +0800
gradle.properties,Scott Alexander-Bown,Thu Jun 14 17:02:26 2018 +0100
gradle.properties,Frieder Bluemle,Fri May 12 00:31:26 2017 +0800
gradle.properties,Scott Alexander-Bown,Wed Mar 29 12:25:16 2017 +0100
gradle.properties,Scott Alexander-Bown,Wed May 18 09:05:58 2016 +0100
gradle.properties,Scott Alexander-Bown,Mon Mar 14 21:04:13 2016 +0000
gradle.properties,Scott Alexander-Bown,Wed Sep 16 13:13:36 2015 +0100
gradle.properties,Scott Alexander-Bown,Tue Jun 30 16:51:16 2015 +0100
gradle.properties,Scott Alexander-Bown,Fri Jun 19 10:05:10 2015 +0100
gradle/libs.versions.toml,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
gradle/libs.versions.toml,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
gradle/libs.versions.toml,Artsem Kurantsou,Sun Aug 4 22:38:30 2024 +0100
gradle/libs.versions.toml,Artsem Kurantsou,Sun Aug 4 22:18:36 2024 +0100
gradle/wrapper/gradle-wrapper.properties,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
gradle/wrapper/gradle-wrapper.properties,Artsem Kurantsou,Sun Aug 4 22:38:30 2024 +0100
gradle/wrapper/gradle-wrapper.properties,Artsem Kurantsou,Sun Aug 4 20:40:34 2024 +0100
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,Sat May 8 15:18:37 2021 +0100
gradle/wrapper/gradle-wrapper.properties,mat,Tue Jan 28 12:31:03 2020 +0000
gradle/wrapper/gradle-wrapper.properties,Daniel Kutik,Sat Nov 16 10:34:24 2019 +0800
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,Fri May 11 13:00:38 2018 +0100
gradle/wrapper/gradle-wrapper.properties,Matthew Rollings,Fri May 11 13:00:38 2018 +0100
gradle/wrapper/gradle-wrapper.properties,Frieder Bluemle,Fri May 12 00:31:26 2017 +0800
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,Fri Mar 24 14:15:39 2017 +0000
gradle/wrapper/gradle-wrapper.properties,matthew,Mon Mar 13 22:35:27 2017 +0000
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,Tue May 17 16:21:28 2016 +0100
gradle/wrapper/gradle-wrapper.properties,Scott Alexander-Bown,Fri Jun 19 10:05:10 2015 +0100
rootbeerlib/build.gradle.kts,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
rootbeerlib/build.gradle.kts,Scott Alexander-Bown,Wed Sep 18 11:02:36 2024 +0100
rootbeerlib/build.gradle.kts,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
rootbeerlib/build.gradle.kts,Artsem Kurantsou,Mon Aug 5 20:48:03 2024 +0100
rootbeerlib/build.gradle.kts,Artsem Kurantsou,Mon Aug 5 20:38:36 2024 +0100
rootbeerlib/build.gradle.kts,Artsem Kurantsou,Sun Aug 4 22:18:36 2024 +0100
settings.gradle.kts,Niall Scott,Fri Oct 4 08:42:57 2024 +0100
settings.gradle.kts,Scott Alexander-Bown,Wed Sep 18 11:02:36 2024 +0100
settings.gradle.kts,Artsem Kurantsou,Mon Aug 5 19:31:03 2024 +0100
settings.gradle.kts,Artsem Kurantsou,Sun Aug 4 22:18:36 2024 +0100
rootbeerlib/gradle.properties,Scott Alexander-Bown,Wed Sep 18 11:02:36 2024 +0100
rootbeerlib/gradle.properties,Frieder Bluemle,Fri May 12 00:41:00 2017 +0800
rootbeerlib/gradle.properties,Scott Alexander-Bown,Tue Jun 30 16:51:16 2015 +0100
README.md,Scott Alexander-Bown,Thu Sep 12 11:18:34 2024 +0100
README.md,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
README.md,Scott Alexander-Bown,Mon Jun 7 09:54:51 2021 +0100
README.md,Harsh Mahajan,Mon Jun 7 16:50:08 2021 +0800
README.md,Scott Alexander-Bown,Tue May 4 08:04:38 2021 +0100
README.md,Prempal Singh,Tue Jul 28 00:20:09 2020 +0530
README.md,Matthew Rollings,Tue Jul 21 14:58:39 2020 +0100
README.md,mat,Tue Feb 4 13:41:34 2020 +0000
README.md,mat,Tue Jan 28 13:12:19 2020 +0000
README.md,mat,Tue Jan 28 13:03:18 2020 +0000
README.md,mat,Tue Jan 28 12:51:22 2020 +0000
README.md,zhqcqupt,Sat Nov 30 01:15:51 2019 +0800
README.md,Jamie Cruwys,Thu May 2 16:28:11 2019 +0100
README.md,Shanmugasanthosh,Sun Nov 4 10:33:57 2018 +0530
README.md,Matthew Rollings,Mon Jun 25 09:00:15 2018 +0100
README.md,Frieder Bluemle,Fri May 12 00:41:00 2017 +0800
README.md,Scott Alexander-Bown,Wed Mar 29 12:25:16 2017 +0100
README.md,Matthew Rollings,Wed Mar 29 12:18:37 2017 +0100
README.md,Matthew Rollings,Fri Mar 24 16:11:58 2017 +0000
README.md,Scott Alexander-Bown,Fri Jul 1 21:21:13 2016 +0100
README.md,Scott Alexander-Bown,Wed May 18 09:05:58 2016 +0100
README.md,Scott Alexander-Bown,Mon Mar 14 21:04:13 2016 +0000
README.md,Litrik De Roy,Wed Jan 6 10:29:30 2016 +0100
README.md,Scott Alexander-Bown,Thu Sep 17 13:49:01 2015 +0100
README.md,Scott Alexander-Bown,Thu Sep 17 13:48:32 2015 +0100
README.md,Scott Alexander-Bown,Wed Jul 1 09:28:32 2015 +0100
README.md,Scott Alexander-Bown,Tue Jun 30 17:35:59 2015 +0100
README.md,Scott Alexander-Bown,Tue Jun 30 16:31:31 2015 +0100
README.md,Matthew Rollings,Tue Jun 30 16:07:09 2015 +0100
README.md,Matthew Rollings,Tue Jun 30 16:04:49 2015 +0100
README.md,Scott Alexander-Bown,Tue Jun 30 15:59:24 2015 +0100
README.md,Scott Alexander-Bown,Tue Jun 30 15:45:12 2015 +0100
README.md,Scott Alexander-Bown,Tue Jun 30 15:14:08 2015 +0100
README.md,Scott Alexander-Bown,Mon Jun 29 14:06:14 2015 +0100
README.md,Scott Alexander-Bown,Fri Jun 26 19:49:17 2015 +0100
README.md,Scott Alexander-Bown,Fri Jun 19 10:01:56 2015 +0100
.circleci/config.yml,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
.circleci/config.yml,Scott Alexander-Bown,Sat May 8 15:18:37 2021 +0100
.circleci/config.yml,mat,Tue Feb 4 13:21:36 2020 +0000
.circleci/config.yml,Matthew Rollings,Fri May 11 17:10:49 2018 +0100
.circleci/config.yml,Matthew Rollings,Fri May 11 14:31:48 2018 +0100
.circleci/config.yml,Matthew Rollings,Fri May 11 14:27:52 2018 +0100
.github/ISSUE_TEMPLATE.md,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
.github/PULL_REQUEST_TEMPLATE.md,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
CHANGE_LOG.md,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
CHANGE_LOG.md,Scott Alexander-Bown,Sat May 22 14:42:21 2021 +0100
CHANGE_LOG.md,Scott Alexander-Bown,Sat May 8 15:18:37 2021 +0100
CHANGE_LOG.md,Scott Alexander-Bown,Tue May 4 07:47:42 2021 +0100
CHANGE_LOG.md,mat,Tue Feb 4 11:42:07 2020 +0000
CHANGE_LOG.md,Frieder Bluemle,Fri May 12 00:41:00 2017 +0800
CHANGE_LOG.md,Scott Alexander-Bown,Wed Mar 29 12:25:16 2017 +0100
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
app/src/main/AndroidManifest.xml,Artsem Kurantsou,Sun Aug 4 20:40:34 2024 +0100
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,Sat May 8 15:18:37 2021 +0100
app/src/main/AndroidManifest.xml,Deepak PK,Wed Mar 11 14:58:40 2020 +0530
app/src/main/AndroidManifest.xml,Daniel Kutik,Sat Nov 16 10:34:24 2019 +0800
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,Fri Jul 1 21:14:26 2016 +0100
app/src/main/AndroidManifest.xml,Andy Barber,Fri Jul 1 15:40:45 2016 +0100
app/src/main/AndroidManifest.xml,Alessandro Yuichi Okimoto,Thu Oct 1 21:26:13 2015 +0900
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,Fri Jun 26 16:50:40 2015 +0100
app/src/main/AndroidManifest.xml,Scott Alexander-Bown,Fri Jun 19 10:05:10 2015 +0100
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,grubeli,Tue Nov 16 14:04:57 2021 +0000
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,Mon May 24 08:46:20 2021 +0100
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,Mon May 24 08:45:07 2021 +0100
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,Fri May 21 15:40:38 2021 +0100
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,Sat May 8 15:18:37 2021 +0100
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,Scott Alexander-Bown,Thu Sep 12 11:16:21 2024 +0100
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,Artsem Kurantsou,Mon Aug 5 19:31:03 2024 +0100
